Customer_ID,Customer_Name,Date_of_Birth,Marital_Status,Gender,Yearly_Income
BF11005,Barry Franz,1978-12-14,M,F,60000
VG21805,Vivek Grady,1964-08-31,M,F,70000
GT14710,Greg Tran,1981-08-24,M,M,60000
ZC21910,Zuschuss Carroll,1983-12-30,M,M,20000
SC20095,Sanjit Chand,1951-02-02,S,M,30000
EB13840,Ellis Ballard,1990-06-14,M,F,30000
AP10915,Arthur Prichep,1959-08-22,M,F,30000
SW20275,Scott Williamson,1994-03-23,M,M,30000
JH15820,John Huston,1951-03-21,S,F,40000
LC16885,Lena Creighton,1990-09-27,M,M,30000
TG11640,Trudy Glocke,1999-01-10,S,M,30000
HR14830,Harold Ryan,1976-03-31,S,F,40000
DG3300,Deirdre Greer,1950-07-31,M,F,60000
SG20470,Sheri Gordon,1983-02-08,M,F,40000
FH14365,Fred Hopkins,1991-06-25,M,M,40000
GP14740,Guy Phonely,1993-11-26,M,F,40000
MW18220,Mitch Webber,1959-06-15,M,M,70000
PO18850,Patrick O'Brill,1996-03-28,M,M,80000
CS12460,Chuck Sachs,1954-03-27,S,F,80000
KD16495,Keith Dawkins,1983-06-28,M,M,80000
MS17980,Michael Stewart,2001-04-18,M,M,80000
KC16675,Kimberly Carter,2002-12-25,M,M,40000
DB13405,Denny Blanton,1992-10-26,S,F,40000
JD15895,Jonathan Doherty,1957-05-31,M,M,40000
DK13090,Dave Kipp,1956-09-21,M,F,60000
CS11845,Cari Sayre,1995-06-06,M,F,70000
EM14200,Evan Minnotte,1994-07-03,S,M,60000
DW3480,Dianna Wilson,1957-06-25,S,F,80000
AS10225,Alan Schoenberger,1952-06-15,S,F,80000
ST20530,Shui Tom,1951-01-04,M,M,80000
BW1065,Barry Weirich,2002-08-04,S,F,80000
LA16780,Laura Armstrong,1965-10-26,S,F,80000
AB10150,Aimee Bixby,1969-04-23,S,F,70000
CM12385,Christopher Martinez,1976-03-14,S,M,70000
BE11410,Bobby Elias,1978-04-16,S,F,80000
SZ20035,Sam Zeldin,1999-04-29,S,M,80000
RM19375,Raymond Messe,1956-06-20,S,F,80000
HG14845,Harry Greene,1950-10-02,S,F,40000
DP3105,Dave Poirier,1956-09-14,S,M,160000
AR10540,Andy Reiter,1987-08-16,M,M,170000
TP21415,Tom Prescott,1969-02-27,M,F,120000
AM10705,Anne McFarland,1982-09-24,S,F,130000
AB255,Alejandro Ballentine,1953-02-03,M,F,130000
RP19270,Rachel Payne,2003-08-30,S,M,80000
BK11260,Berenike Kampe,1985-08-18,S,F,60000
JM15250,Janet Martin,1950-11-14,M,M,70000
LW16990,Lindsay Williams,1998-02-08,M,F,70000
NZ18565,Nick Zandusky,1969-01-14,M,M,80000
SV10815,Stuart Van,1959-11-05,S,F,80000
SC20695,Steve Chapman,1957-04-09,S,M,90000
NC18625,Noah Childs,1992-10-30,M,M,90000
NF18385,Natalie Fritzler,1985-05-08,M,F,90000
PM18940,Paul MacIntyre,1959-09-30,M,F,100000
MZ17335,Maria Zettner,1988-04-30,S,M,70000
HM4980,Henry MacAllister,1993-01-11,S,M,70000
RW19540,Rick Wilson,1998-09-09,M,M,60000
LH17155,Logan Haushalter,1958-10-15,M,M,60000
KM16660,Khloe Miller,1981-11-29,S,F,60000
AB10060,Adam Bellavance,1973-04-09,M,M,60000
DB13060,Dave Brooks,2001-01-06,S,F,60000
VM21685,Valerie Mitchum,1987-06-07,S,F,70000
DM13525,Don Miller,1953-12-30,S,F,80000
NM18520,Neoma Murray,1966-08-12,S,F,70000
RO19780,Rose O'Brian,1985-04-30,M,M,70000
SB20185,Sarah Brown,2002-09-25,S,F,70000
EM14065,Erin Mull,1963-10-09,S,M,70000
RS19765,Roland Schwarz,1983-12-05,M,F,90000
ON18715,Odella Nelson,1958-07-05,S,F,70000
VS21820,Vivek Sundaresam,1951-11-05,S,M,70000
CM12115,Chad McGuire,1950-07-01,M,M,60000
TB21400,Tom Boeckenhauer,1963-01-06,M,F,60000
AB10105,Adrian Barton,1952-06-28,M,F,60000
DW13540,Don Weiss,1987-02-26,M,M,70000
PS19045,Penelope Sewall,1957-08-28,S,F,70000
CC12370,Christopher Conant,1995-03-16,M,M,70000
TC21295,Toby Carlisle,1953-10-04,M,M,70000
GM14440,Gary McGarr,1970-03-24,M,F,70000
SV20815,Stuart Van,1954-10-25,S,M,80000
MM17920,Michael Moore,1963-04-07,S,M,30000
JK16120,Julie Kriz,1953-07-11,S,F,40000
DJ13510,Don Jones,1965-10-26,M,M,70000
AT10435,Alyssa Tate,1968-03-29,M,M,70000
AB10015,Aaron Bergman,1989-11-09,M,M,70000
RP19390,Resi Pölking,1952-05-19,S,M,80000
MJ17740,Max Jones,1953-05-22,S,F,70000
PV18985,Paul Van Hugh,2002-01-11,M,M,10000
SB20290,Sean Braxton,1997-02-18,M,F,40000
SM10005,Sally Matthias,1977-12-24,M,F,40000
KH16330,Katharine Harms,1989-12-02,S,F,40000
MP18175,Mike Pelletier,1955-10-20,M,F,30000
LH17020,Lisa Hazard,1998-11-28,M,F,30000
ND18370,Natalie DeCherney,1965-07-06,S,F,30000
CR12625,Corey Roper,1966-11-18,S,F,30000
GM14680,Greg Matthias,1965-02-10,S,M,10000
RA19945,Ryan Akin,1978-05-30,S,M,30000
BW11110,Bart Watters,2001-03-03,S,F,40000
RF19735,Roland Fjeld,1975-03-13,M,F,40000
AG10675,Anna Gayman,1998-08-25,M,F,40000
DM12955,Dario Medina,1955-08-31,S,F,30000
KD16270,Karen Daniels,1984-05-19,S,M,30000
BE11335,Bill Eplett,2005-10-16,M,F,40000
SO20335,Sean O'Donnell,1976-06-17,S,M,40000
DK12835,Damala Kotsonis,1967-09-23,M,M,40000
LC7050,Liz Carlisle,1973-06-30,S,M,40000
CG12520,Claire Gute,1987-05-18,S,F,40000
TB21280,Toby Braunhardt,1951-05-09,S,F,40000
HG15025,Hunter Glantz,1978-04-24,M,M,60000
AD10180,Alan Dominguez,1950-12-14,M,M,40000
BP11155,Becky Pak,1981-11-23,M,M,40000
AA10480,Andrew Allen,1967-10-22,S,M,40000
RL19615,Rob Lucas,1951-09-19,S,F,60000
CS12505,Cindy Stewart,1982-06-22,S,M,40000
SW20245,Scot Wooten,1958-05-05,M,F,40000
TA21385,Tom Ashbrook,1964-01-04,S,F,40000
YC21895,Yoseph Carroll,1981-01-24,S,M,40000
JM15580,Jill Matthias,1968-06-21,S,F,40000
MZ7335,Maria Zettner,1963-04-13,M,F,40000
JF15295,Jason Fortune,1966-07-01,S,M,40000
JL15835,John Lee,1982-12-31,S,F,40000
DJ3510,Don Jones,1999-03-14,S,M,40000
MF18250,Monica Federle,1973-03-07,S,F,40000
JE15610,Jim Epp,1950-12-19,S,M,40000
CP12340,Christine Phan,1999-07-06,M,M,40000
EH14125,Eugene Hildebrand,1958-09-05,S,M,40000
NC18340,Nat Carroll,1957-09-30,M,F,60000
JS16030,Joy Smith,1996-06-02,S,F,70000
AM10360,Alice McCarthy,1954-09-23,S,F,80000
JF15190,Jamie Frazer,1992-05-30,S,M,80000
JG15160,James Galang,1966-12-18,M,M,90000
DP13390,Dennis Pardue,1997-11-21,M,F,90000
AG10330,Alex Grayson,1956-08-14,S,M,100000
GK14620,Grace Kelly,1990-06-01,M,F,100000
NF18475,Neil Französisch,1990-10-06,S,F,110000
DR12940,Daniel Raglin,2004-11-09,M,M,110000
NB18655,Nona Balk,1963-09-05,S,M,70000
NM18445,Nathan Mautz,1987-06-10,M,M,90000
NP18670,Nora Paige,1951-09-19,M,M,110000
SC20380,Shahid Collister,1988-05-31,M,M,100000
PA9060,Pete Armstrong,1951-11-08,M,F,120000
RB19570,Rob Beeghly,1971-12-07,M,F,160000
SR20740,Steven Roelle,1972-11-25,M,M,170000
RH19510,Rick Huthwaite,2002-09-10,S,F,70000
LH16750,Larry Hughes,1966-12-07,S,F,70000
KB16585,Ken Black,1997-04-22,S,F,70000
EM13810,Eleni McCrary,1958-06-15,S,F,70000
MZ7515,Mary Zewe,1985-07-25,S,F,70000
DM13345,Denise Monton,1986-02-03,M,F,60000
CA11965,Carol Adams,1956-08-02,M,F,60000
SC20305,Sean Christensen,1969-08-16,S,M,60000
MH18115,Mick Hernandez,1974-10-09,M,M,70000
KS16300,Karen Seio,2001-08-22,S,F,70000
BG11740,Bruce Geld,1959-04-12,M,M,60000
CR2625,Corey Roper,1976-10-30,M,M,60000
CB12415,Christy Brittain,1979-08-21,M,F,60000
AP10720,Anne Pryor,1974-09-08,M,F,60000
CR12820,Cyra Reiten,1989-11-17,M,M,60000
BF11080,Bart Folk,1952-12-25,M,F,70000
JM15265,Janet Molinari,1991-05-06,S,F,70000
TW21025,Tamara Willingham,1992-07-14,M,F,70000
RB19330,Randy Bradley,1987-12-01,M,M,70000
JA15970,Joseph Airdo,1983-06-14,M,F,70000
AB60,Adam Bellavance,2005-01-11,M,F,80000
JR5670,Jim Radford,2003-11-20,M,M,40000
MD17350,Maribeth Dona,1971-12-19,M,F,40000
PK19075,Pete Kriz,1986-09-16,M,F,40000
TP21130,Theone Pippenger,1983-10-13,M,M,60000
JK15640,Jim Kriz,2003-06-05,S,F,60000
CD11920,Carlos Daly,1976-06-21,M,F,60000
JL5835,John Lee,1996-03-01,M,F,60000
EP13915,Emily Phan,1984-05-06,M,M,70000
MS17770,Maxwell Schwartz,1960-06-02,M,F,40000
CM12655,Corinna Mitchell,1962-12-26,M,F,40000
JC6105,Julie Creighton,1999-01-12,S,F,60000
GB14530,George Bell,1965-09-26,S,M,60000
JH16180,Justin Hirsh,1953-01-18,M,F,40000
MT8070,Michelle Tran,1968-05-22,S,F,60000
CV2805,Cynthia Voltz,2000-05-22,S,F,60000
NH18610,Nicole Hansen,1959-02-27,S,F,60000
HJ14875,Heather Jas,1951-08-19,M,M,60000
JL15175,James Lanier,1988-10-03,M,F,60000
MY18295,Muhammed Yedwab,2002-03-03,M,M,70000
MW18235,Mitch Willingham,2005-06-27,M,F,80000
KC16540,Kelly Collister,1986-12-16,S,F,70000
HA14920,Helen Andreada,1987-09-29,S,F,70000
MT17815,Meg Tillman,2000-03-02,M,F,60000
FW14395,Fred Wasserman,1989-08-20,M,F,60000
BH11710,Brosina Hoffman,1963-04-20,S,M,60000
DK12895,Dana Kaydos,1987-06-19,M,F,60000
SC20845,Sung Chung,1967-06-02,S,M,70000
CY12745,Craig Yedwab,1976-09-11,M,F,70000
HL15040,Hunter Lopez,1990-08-06,M,M,60000
CT11995,Carol Triggs,1979-03-24,M,F,60000
GR4560,Georgia Rosenberg,1974-03-31,M,M,70000
TT21070,Ted Trevino,1954-05-09,S,F,70000
PO19195,Phillina Ober,1975-03-27,M,M,70000
ED13885,Emily Ducich,1982-10-19,S,M,70000
TM21490,Tony Molinari,1976-08-28,S,M,130000
AW10840,Anthony Witt,1986-04-25,S,F,130000
AT10735,Annie Thurman,1999-08-07,M,F,130000
SG10605,Speros Goranitis,1955-05-22,M,F,160000
BM11785,Bryan Mills,1975-06-24,S,F,100000
DK13375,Dennis Kane,1964-11-12,M,M,110000
PF19225,Phillip Flathmann,1984-04-30,M,F,150000
TG21310,Toby Gnade,1993-04-16,S,F,170000
SF10200,Sarah Foster,1978-08-29,M,M,120000
JW5220,Jane Waco,1996-03-21,M,F,120000
CC12100,Chad Cunningham,1958-09-07,S,F,130000
RD19930,Russell D'Ascenzo,1962-11-25,M,M,110000
BP1230,Benjamin Patterson,1980-05-05,M,F,130000
CS12175,Charles Sheldon,1963-11-06,M,F,170000
JD16060,Julia Dunbar,1952-01-09,S,M,30000
GH14665,Greg Hansen,2003-03-03,S,M,90000
CM11935,Carlos Meador,1977-06-05,M,M,60000
RB9465,Rick Bensley,1962-06-19,M,M,70000
RB19795,Ross Baird,1978-11-17,M,M,70000
DL13495,Dionis Lloyd,1955-02-25,M,F,70000
TS21205,Thomas Seio,1994-10-31,S,F,120000
MV8190,Mike Vittorini,1997-04-26,M,M,120000
BD11560,Brendan Dodson,1981-01-13,M,F,100000
PS18760,Pamela Stobb,1966-03-10,M,F,110000
FM14215,Filia McAdams,1956-10-04,M,F,130000
CA12775,Cynthia Arntzen,1970-05-28,M,F,80000
CD12790,Cynthia Delaney,1976-10-11,M,F,90000
NL18310,Nancy Lomonaco,1985-06-18,S,M,90000
TB21055,Ted Butterfield,1988-02-25,M,F,90000
EH4125,Eugene Hildebrand,1968-01-29,S,F,90000
KB16600,Ken Brennan,1975-07-15,S,M,120000
KW16435,Katrina Willman,1987-03-13,M,F,130000
MG17695,Maureen Gnade,1957-09-27,M,M,130000
HM14860,Harry Marie,1959-10-29,M,M,130000
BP11290,Beth Paige,1950-08-29,S,F,150000
HZ4950,Henia Zydlo,1965-02-24,S,F,70000
TC20980,Tamara Chand,1954-04-12,M,M,90000
EM13825,Elizabeth Moffitt,1967-11-10,M,M,50000
BS11800,Bryan Spruell,1953-06-27,M,F,80000
DV13465,Dianna Vittorini,1974-06-17,M,F,80000
MB17305,Maria Bertelson,1958-03-15,M,M,80000
PC19000,Pauline Chand,1973-12-27,S,M,90000
CA12310,Christine Abelman,1950-11-10,M,F,90000
KC16255,Karen Carlisle,1974-03-31,M,M,90000
DB3660,Duane Benoit,1957-12-12,S,F,110000
SC20260,Scott Cohen,1999-10-23,M,M,90000
BD11500,Bradley Drucker,1990-01-31,M,M,110000
BM11140,Becky Martin,1962-01-26,M,F,110000
KB16315,Karl Braun,2003-05-10,M,M,120000
JM15865,John Murray,1967-09-01,M,M,170000
AF10885,Art Foster,2001-03-03,M,M,70000
SJ20500,Shirley Jackson,1995-09-06,M,F,110000
WB21850,William Brown,1966-12-31,M,F,130000
CC12610,Corey Catlett,1993-03-01,M,F,130000
BE11455,Brad Eason,1980-11-02,M,F,130000
TG21640,Trudy Glocke,1988-11-20,S,M,150000
MS17365,Maribeth Schnelling,1996-06-05,S,M,60000
NP18685,Nora Pelletier,1977-06-13,M,M,60000
RM19675,Robert Marley,1968-08-09,S,F,80000
SN20560,Skye Norling,2001-09-19,S,F,50000
CD12280,Christina DeMoss,1973-03-09,S,M,70000
BG11035,Barry Gonzalez,1976-06-12,M,M,70000
CC12550,Clay Cheatham,1995-06-28,M,M,70000
SV20785,Stewart Visinsky,2003-12-24,M,M,80000
HW14935,Helen Wasserman,1965-08-21,M,M,80000
AS10285,Alejandro Savely,1998-06-12,S,M,90000
LD16855,Lela Donovan,1979-08-19,S,F,90000
NS18505,Neola Schneider,1991-04-24,M,F,100000
CM12715,Craig Molinari,1994-02-03,M,M,110000
JD6060,Julia Dunbar,1971-11-01,M,M,110000
MG17680,Maureen Gastineau,1952-02-19,M,M,80000
DB13210,Dean Braden,1965-01-16,M,M,60000
CS11860,Cari Schnelling,1964-10-07,S,F,60000
GG14650,Greg Guthrie,1961-11-08,S,F,70000
BN11470,Brad Norvell,1955-06-16,S,F,70000
BS1665,Brian Stugart,2003-03-21,S,F,70000
AC10450,Amy Cox,2004-09-18,S,M,70000
CK12205,Chloris Kastensmidt,1998-03-23,S,F,70000
JD16150,Justin Deggeller,1989-08-03,S,F,70000
CC2550,Clay Cheatham,1959-04-16,M,M,60000
MS17830,Melanie Seite,1985-05-26,S,F,40000
SM20950,Suzanne McNair,2004-03-31,S,F,40000
CL12700,Craig Leslie,2005-11-02,M,F,70000
CM12160,Charles McCrossin,1955-11-17,M,F,80000
JC15775,John Castell,1969-08-29,M,M,90000
LH16900,Lena Hernandez,1992-03-23,M,F,90000
DV13045,Darrin Van Huff,1959-05-24,S,M,120000
BT11530,Bradley Talbott,2000-08-30,M,M,90000
BM1650,Brian Moss,1975-12-20,S,M,90000
MG18205,Mitch Gastineau,1965-04-24,M,M,130000
RB19705,Roger Barcio,1991-07-15,M,M,90000
FC14245,Frank Carlisle,1960-10-05,M,M,90000
TT21220,Thomas Thornton,1960-11-25,S,M,90000
SJ20215,Sarah Jordon,1984-01-23,M,M,110000
PB18805,Patrick Bzostek,1975-12-12,M,F,90000
RW19690,Robert Waldorf,1980-07-23,S,F,10000
DB3360,Dennis Bolton,1956-06-28,M,F,20000
DK13150,David Kendrick,1993-01-14,M,F,10000
RW9540,Rick Wilson,1993-10-27,M,F,10000
MP17470,Mark Packer,1998-11-28,M,M,20000
TB21625,Trudy Brown,1984-09-13,M,M,10000
MO17800,Meg O'Connel,1961-05-11,M,M,20000
MR17545,Mathew Reese,1987-10-12,S,M,20000
LC17050,Liz Carlisle,1975-09-09,M,F,10000
RA19885,Ruben Ausman,1980-03-22,M,M,20000
MG8145,Mike Gockenbach,1968-12-18,M,M,30000
JE16165,Justin Ellison,1983-08-26,M,M,10000
JK16090,Juliana Krohn,1982-11-08,M,F,10000
EM13960,Eric Murdock,1951-05-27,S,F,10000
DJ13420,Denny Joy,1991-03-27,S,F,10000
BO11425,Bobby Odegard,1983-11-04,M,M,10000
LW17215,Luke Weiss,1960-04-10,M,M,10000
PJ19015,Pauline Johnson,1993-08-24,M,F,10000
KM16720,Kunst Miller,1996-10-05,M,F,30000
BG11695,Brooke Gillingham,1980-08-15,S,F,20000
CS12130,Chad Sievert,1988-02-29,M,M,10000
MC17425,Mark Cousins,1962-01-03,S,F,30000
BD1635,Brian Derr,1958-07-29,M,F,20000
RF19345,Randy Ferguson,1952-05-02,M,M,40000
MG7680,Maureen Gastineau,1952-04-30,S,M,10000
KH16690,Kristen Hastings,1962-05-23,S,M,10000
CC12475,Cindy Chapman,2004-07-26,S,F,10000
LT16765,Larry Tron,1967-07-16,S,M,10000
BF10975,Barbara Fisher,1962-03-16,S,M,10000
CJ12010,Caroline Jumper,1952-08-21,M,F,10000
SH9975,Sally Hughsby,1999-08-13,M,M,10000
SL20155,Sara Luxemburg,1981-06-16,S,M,10000
NC8340,Nat Carroll,1974-03-31,S,F,10000
JB5400,Jennifer Braxton,1969-04-25,S,F,10000
TB21250,Tim Brockman,1979-05-09,M,F,20000
PS18970,Paul Stevenson,1967-10-17,M,M,20000
BB11545,Brenda Bowman,2005-10-27,S,M,10000
SG10470,Sheri Gordon,1996-01-22,M,F,20000
SP20920,Susan Pistek,1979-10-19,M,F,20000
Dp13240,Dean percer,1962-11-30,M,F,20000
GZ14470,Gary Zandusky,1960-09-27,S,F,20000
AH10075,Adam Hart,1955-07-14,M,F,30000
CB2025,Cassandra Brandow,1977-04-22,S,M,30000
SC20050,Sample Company A,2002-05-02,M,M,30000
SC10230,Scot Coram,1968-03-21,S,M,40000
JS15595,Jill Stevenson,1975-05-23,M,M,30000
BS11380,Bill Stewart,1961-07-26,S,F,10000
JL5130,Jack Lebron,1990-01-18,M,M,10000
AS10090,Adam Shillingsburg,1963-10-13,S,M,20000
EL13735,Ed Ludwig,2001-01-25,M,F,20000
FH14275,Frank Hawley,1988-04-06,M,M,20000
OT18730,Olvera Toch,2004-03-27,M,F,30000
SM10320,Sean Miller,1980-12-05,M,F,30000
PM19135,Peter McVee,2003-03-01,S,M,30000
TS11430,Tom Stivers,2003-07-20,M,F,30000
LS17245,Lynn Smith,1994-01-15,S,F,40000
SF20200,Sarah Foster,1992-05-21,M,M,40000
CM11815,Candace McMahon,1977-02-14,S,M,10000
FG14260,Frank Gastineau,1950-05-10,S,F,10000
KN6705,Kristina Nunn,1969-01-28,S,F,10000
TB11520,Tracy Blumstein,1999-05-30,S,M,10000
JB15400,Jennifer Braxton,1985-03-27,S,M,10000
KH16510,Keith Herrera,1972-12-20,S,M,10000
DL13330,Denise Leinenbach,1979-08-30,S,F,30000
KN16390,Katherine Nockton,1965-10-07,M,M,10000
SV20935,Susan Vittorini,1975-04-19,S,F,20000
MD17860,Michael Dominguez,1963-03-13,S,M,30000
LS17200,Luke Schmidt,1971-03-28,S,F,30000
CM12445,Chuck Magee,1953-05-07,S,M,40000
SS20140,Saphhira Shifley,1955-05-17,M,F,40000
GH14425,Gary Hwang,1966-02-26,M,F,40000
SM20320,Sean Miller,1952-12-20,S,F,40000
GR14560,Georgia Rosenberg,1993-07-06,S,F,10000
TS21370,Todd Sumrall,1986-04-22,S,F,10000
DH3675,Duane Huffman,1976-08-14,M,F,20000
MM8280,Muhammed MacIntyre,1976-07-16,M,M,20000
PM9135,Peter McVee,1974-09-05,M,M,10000
GP4740,Guy Phonely,1988-06-29,S,F,10000
AF10870,Art Ferguson,1992-10-26,M,M,20000
TS21505,Tony Sayre,1998-03-07,M,M,80000
BM11575,Brendan Murry,1985-05-03,S,F,80000
AH10030,Aaron Hawkins,2001-09-23,M,F,80000
AG10495,Andrew Gjertsen,1987-10-12,S,M,80000
AG675,Anna Gayman,1974-04-30,S,M,90000
SW20755,Steven Ward,2004-12-29,M,F,60000
SK19990,Sally Knutson,1999-06-25,M,F,70000
AG10900,Arthur Gainer,1989-12-03,S,M,90000
AJ960,Astrea Jones,1970-07-30,M,M,150000
MC7275,Marc Crier,1969-04-24,M,M,100000
ER13855,Elpida Rittenbach,1981-07-06,M,F,110000
EJ13720,Ed Jacobs,1982-05-20,M,M,170000
DH13675,Duane Huffman,1977-07-24,M,F,80000
HE14800,Harold Engle,1964-09-16,M,F,80000
KT16480,Kean Thornton,1992-09-16,M,F,90000
SB20170,Sarah Bern,1983-09-12,M,M,110000
EM14140,Eugene Moren,2000-12-07,M,F,110000
VT21700,Valerie Takahito,1984-03-12,S,F,120000
JS15880,John Stevenson,1986-01-25,M,M,80000
BC11125,Becky Castell,1970-04-06,M,F,90000
NF18595,Nicole Fjeld,1989-11-19,M,M,110000
RH9600,Rob Haberlin,1970-10-12,M,F,80000
CS11950,Carlos Soltero,1995-02-21,M,M,80000
CM12235,Chris McAfee,1959-11-19,M,M,170000
LW16825,Laurel Workman,1963-07-14,S,F,100000
RD19585,Rob Dowd,1962-12-22,M,F,160000
BT11680,Brian Thompson,2004-01-20,M,M,90000
MD7860,Michael Dominguez,1964-04-19,M,F,130000
CC12145,Charles Crestani,1979-11-29,M,F,90000
XP21865,Xylona Preis,1980-06-29,M,M,80000
ML17410,Maris LaWare,2000-04-07,M,F,90000
BS11665,Brian Stugart,1962-05-31,M,M,90000
SC20230,Scot Coram,1951-05-17,S,F,60000
QJ19255,Quincy Jones,1950-07-12,M,F,70000
RE19450,Richard Eichhorn,1977-01-02,S,F,70000
CP2085,Cathy Prescott,1961-01-14,S,F,70000
JK5730,Joe Kamberova,1965-06-22,M,F,70000
HZ14950,Henia Zydlo,1968-06-20,S,M,80000
AR10570,Anemone Ratner,1981-06-29,M,M,80000
EH14005,Erica Hernandez,1976-03-02,S,M,130000
JR15700,Jocasta Rupert,1965-01-16,S,M,70000
PL18925,Paul Lucas,1957-12-03,S,F,80000
TC21145,Theresa Coyne,1968-06-18,S,M,80000
DG13300,Deirdre Greer,1963-06-18,S,F,80000
Dl13600,Dorris liebe,2001-12-13,M,M,100000
NC18415,Nathan Cano,1971-05-11,M,M,120000
EB13930,Eric Barreto,1997-02-06,M,F,90000
CP12085,Cathy Prescott,1978-01-17,M,F,100000
SM20005,Sally Matthias,1951-10-22,S,F,80000
JR15670,Jim Radford,1968-04-11,S,M,90000
DL12925,Daniel Lacy,1955-01-28,S,M,90000
FM14290,Frank Merwin,2000-06-02,M,F,110000
DP13165,David Philippe,1971-06-27,M,F,110000
CK12595,Clytie Kelty,1987-01-18,M,M,90000
CM11830,Cari MacIntyre,1980-05-06,M,M,90000
PP18955,Paul Prost,2002-05-20,M,M,150000
MM17260,Magdelene Morse,1995-04-20,M,M,170000
ME17320,Maria Etezadi,1961-02-27,M,F,40000
CS12490,Cindy Schnelling,1989-09-26,S,M,10000
GH14410,Gary Hansen,1965-06-26,S,M,20000
MC17635,Matthew Clasen,1965-05-21,S,F,30000
LM7065,Liz MacKendrick,1962-06-29,S,M,60000
AR10510,Andrew Roberts,1962-04-23,S,F,20000
JH15910,Jonathan Howell,2001-11-04,S,M,20000
DK3375,Dennis Kane,1999-09-09,S,M,30000
EG13900,Emily Grady,1987-01-10,M,F,40000
AS10630,Ann Steele,1965-08-28,S,M,30000
CL11890,Carl Ludwig,1953-08-18,S,M,30000
CA12265,Christina Anderson,1952-07-13,M,M,40000
PF19165,Philip Fox,1954-04-11,M,F,40000
DB12970,Darren Budd,1951-07-25,M,F,40000
CL12565,Clay Ludtke,1989-07-25,S,F,30000
MF17665,Maureen Fritzler,1951-10-18,M,M,40000
IM15055,Ionia McGrath,2005-08-22,S,M,40000
EB13975,Erica Bern,1957-12-25,M,M,40000
AA10315,Alex Avila,1981-04-11,S,F,10000
MV17485,Mark Van Huff,1989-03-22,S,F,10000
JW15955,Joni Wasserman,1953-09-18,S,M,20000
TS21610,Troy Staebel,1976-12-06,S,F,20000
MC17575,Matt Collins,1993-12-03,S,M,20000
JF5415,Jennifer Ferguson,1956-01-05,M,M,20000
AH10210,Alan Hwang,1985-06-16,S,M,30000
KD16345,Katherine Ducich,2005-06-18,S,F,40000
PG18895,Paul Gonzalez,1996-11-13,S,M,40000
HK14890,Heather Kirkland,1980-01-04,S,M,40000
RR19315,Ralph Ritter,1996-07-06,S,M,40000
HH5010,Hilary Holden,1955-10-10,S,F,40000
SH20635,Stefanie Holloman,1961-08-03,S,M,40000
AR10825,Anthony Rawles,1954-05-23,S,M,40000
RP9855,Roy Phan,1956-08-25,S,F,40000
LR17035,Lisa Ryan,1965-06-08,S,F,40000
IM5055,Ionia McGrath,1976-09-09,S,M,40000
CK12325,Christine Kargatis,1992-04-30,M,M,50000
AS285,Alejandro Savely,1994-06-23,M,F,40000
DK12985,Darren Koutras,1955-01-04,S,F,60000
